vencedor_papel,primeiro_papel,turnos,rodadas,pontos_a,pontos_b,teve_comeback,juiz_papeis,atacar_principal,atacar_secundario,atacar_terciario,barragem_cadeia,barragem_profundidade_soma,colocar_local,evoluir,guardiao_Descanso,guardiao_Escudos,guardiao_Oprimidos,guardiao_Portais,guardiao_Restauracao,invocar_guardiao,invocar_juiz,invocar_mestre
B,A,178,89,8,10,False,,9,3,166,0,0,3,1,3,1,0,0,1,5,0,0
B,A,288,144,8,10,False,,8,5,275,0,0,8,0,1,0,0,1,2,4,0,0
A,B,170,85,10,9,False,,7,6,155,0,0,10,1,1,1,2,0,0,4,0,0
B,B,229,115,7,10,False,,7,5,217,0,0,5,1,0,1,0,1,2,4,0,0
B,A,230,115,8,10,True,B,12,2,216,0,0,7,1,1,2,0,0,0,3,1,0
A,B,144,72,10,3,False,,7,1,136,0,0,4,1,1,2,0,3,0,6,0,0
B,B,267,134,6,10,False,B,9,2,256,0,0,7,0,0,1,0,1,2,4,1,0
B,A,160,80,7,10,False,B,5,5,150,0,0,6,1,0,2,2,1,0,5,1,0
B,B,183,92,5,10,False,B,3,3,176,0,0,2,2,0,0,2,3,1,6,1,0
A,B,218,109,10,9,False,,5,6,207,1,2,5,0,2,1,0,1,0,5,0,0
B,B,207,104,5,10,False,,7,4,196,0,0,5,0,0,4,0,0,0,4,0,0
A,A,271,136,10,9,False,B,9,2,258,0,0,7,1,0,2,0,0,2,4,1,0
B,A,200,100,6,10,False,B,6,4,190,0,0,4,1,2,0,0,1,1,4,1,0
B,A,158,79,4,10,False,,6,4,148,0,0,7,2,1,0,0,1,3,5,0,0
A,B,208,104,10,9,False,,7,5,193,0,0,9,0,1,0,3,0,2,6,0,0
A,A,175,88,10,7,False,,6,8,161,0,0,4,3,0,0,0,1,2,3,0,0
B,B,199,100,6,10,False,,7,5,186,0,0,3,1,1,1,1,0,3,6,0,0
B,B,153,77,7,10,False,,9,4,138,0,0,2,0,0,1,1,0,1,3,0,1
A,B,242,121,10,8,False,,7,5,230,0,0,6,0,1,0,1,1,0,3,0,0
B,B,157,79,6,10,False,B,5,6,144,0,0,9,1,1,1,1,1,1,5,1,0
A,B,174,87,10,7,False,A,6,5,163,0,0,7,3,1,1,1,1,0,4,1,0
B,B,154,78,6,10,False,,12,2,137,1,2,6,1,0,0,1,0,0,2,0,0
A,A,111,56,10,3,False,,8,4,99,0,0,1,1,1,0,1,1,0,3,0,0
B,B,247,124,9,10,False,,7,5,235,0,0,7,1,0,0,0,0,2,2,0,0
A,B,198,100,10,9,False,,13,3,182,0,0,5,0,0,1,1,0,0,2,0,0
A,B,168,84,10,7,False,,13,4,151,0,0,3,0,1,0,0,0,0,1,0,0
B,A,194,97,6,10,False,B,5,6,183,0,0,6,0,0,1,1,1,2,5,1,0
B,A,194,98,9,12,False,,7,5,180,0,0,6,2,1,0,2,0,0,3,0,0
B,B,130,66,9,10,False,,10,2,116,0,0,3,0,1,0,2,1,1,5,0,0
B,B,136,69,7,10,False,B,5,7,120,0,0,7,1,1,0,3,0,1,5,1,0
A,B,224,113,10,5,False,,5,6,213,0,0,7,0,1,0,1,2,2,6,0,0
B,A,138,69,6,10,False,,8,4,126,0,0,5,0,2,0,1,1,0,4,0,0
A,B,152,76,10,9,False,,6,3,136,0,0,7,1,2,0,1,2,2,7,0,0
A,A,215,108,10,9,False,,12,1,202,0,0,7,0,2,1,0,0,0,3,0,0
B,B,209,105,9,10,False,,7,6,192,0,0,4,0,1,1,1,0,0,3,0,0
B,B,217,109,8,10,False,,7,4,205,0,0,6,1,1,0,1,4,0,6,0,0
B,B,162,82,9,10,False,,5,2,152,0,0,6,1,1,1,2,1,1,6,0,0
B,B,202,102,8,10,False,,11,1,189,0,0,5,1,1,1,1,1,0,4,0,0
B,B,315,158,7,10,False,B,6,5,304,0,0,5,1,0,1,0,1,1,3,1,0
B,B,217,109,7,10,False,,8,4,205,0,0,9,0,1,0,0,3,1,5,0,0
B,A,142,71,4,10,False,B,9,2,131,0,0,4,1,0,1,2,0,2,5,1,0
B,B,233,117,7,10,False,,6,4,222,1,2,7,1,0,2,1,1,1,5,1,0
B,A,208,104,8,10,False,B,6,4,198,0,0,4,1,1,1,1,0,0,3,1,0
B,B,273,137,7,10,False,A,7,2,262,0,0,6,0,3,2,1,0,0,6,1,0
A,A,241,121,10,9,False,,7,5,229,0,0,6,0,1,0,0,2,0,3,0,0
B,B,249,125,9,10,False,B,3,4,242,0,0,7,0,1,2,0,1,2,6,1,0
B,B,147,74,7,10,False,,7,6,133,0,0,7,1,0,1,1,1,0,3,0,0
B,B,234,118,7,10,False,,7,6,217,0,0,8,0,1,1,1,1,1,5,0,0
A,B,200,100,10,4,False,,7,1,192,0,0,5,0,1,1,0,2,2,6,0,0
A,A,169,85,10,7,False,,6,5,154,0,0,8,1,1,1,1,1,0,4,0,0
A,A,187,94,10,9,False,,5,8,173,0,0,4,1,0,0,2,1,1,4,0,0
B,B,205,103,7,10,False,B,10,4,187,0,0,8,1,1,0,0,1,1,3,1,0
B,B,227,114,7,10,False,,6,5,213,0,0,3,0,1,0,2,1,1,5,0,0
B,A,168,84,7,10,False,,6,7,155,0,0,5,0,0,1,1,2,0,4,0,0
