vencedor_papel,primeiro_papel,turnos,rodadas,pontos_a,pontos_b,teve_comeback,juiz_papeis,atacar_principal,atacar_secundario,atacar_terciario,barragem_cadeia,barragem_profundidade_soma,colocar_local,evoluir,guardiao_Descanso,guardiao_Escudos,guardiao_Oprimidos,guardiao_Portais,guardiao_Restauracao,invocar_guardiao,invocar_juiz,invocar_mestre
B,B,236,119,8,10,False,,7,4,221,0,0,4,1,2,0,1,1,0,4,0,0
A,A,263,132,10,7,False,,8,2,251,0,0,6,0,0,0,1,0,3,4,0,0
A,A,204,103,10,9,False,,7,6,189,0,0,4,0,0,1,2,0,1,4,0,0
B,B,181,91,8,10,False,B,9,4,168,0,0,7,1,0,0,0,1,1,2,1,0
B,A,254,127,9,10,False,A,8,4,242,0,0,8,0,0,0,2,0,0,2,1,0
A,B,200,100,10,6,False,,5,6,189,0,0,9,0,0,3,1,3,0,7,0,0
A,B,198,99,10,7,False,,8,6,184,0,0,3,0,1,0,0,1,0,2,0,0
B,A,212,106,8,10,False,,5,4,203,0,0,5,1,2,1,1,2,0,6,0,1
B,B,197,99,9,10,False,,8,7,182,0,0,5,1,1,0,0,1,0,2,0,0
A,B,186,93,10,8,False,,7,5,174,0,0,7,1,2,2,1,0,1,6,0,0
A,A,261,131,10,8,False,B,6,5,250,0,0,8,1,0,2,0,1,1,4,1,1
B,B,170,86,7,10,False,,6,2,159,0,0,9,1,0,2,1,1,1,5,0,1
B,B,193,97,5,10,False,,8,4,180,0,0,2,0,0,1,1,0,2,4,0,0
A,B,206,104,10,9,False,,7,6,190,0,0,5,0,0,0,2,2,0,4,0,0
A,A,163,82,10,7,False,,5,7,149,0,0,10,1,1,0,1,0,1,3,0,0
B,A,222,111,6,10,False,,4,7,211,1,2,3,1,0,1,1,0,0,3,0,0
A,A,248,125,10,9,False,,9,4,233,0,0,5,0,2,0,1,0,1,4,0,0
B,A,256,128,9,10,False,,6,9,241,1,2,5,1,1,0,0,0,0,2,0,0
B,B,159,80,7,10,False,,6,3,149,1,2,7,1,0,1,1,0,0,3,0,0
B,A,188,95,8,10,False,A,6,3,175,0,0,7,1,0,1,2,2,0,5,1,0
B,B,158,80,5,10,False,,9,2,146,0,0,1,1,0,1,1,1,1,4,0,0
