vencedor_papel,primeiro_papel,turnos,rodadas,pontos_a,pontos_b,teve_comeback,juiz_papeis,atacar_principal,atacar_secundario,atacar_terciario,barragem_cadeia,barragem_profundidade_soma,colocar_local,evoluir,guardiao_Descanso,guardiao_Escudos,guardiao_Oprimidos,guardiao_Portais,guardiao_Restauracao,invocar_guardiao,invocar_juiz,invocar_mestre
,B,1500,751,2,5,False,,4,6,116,0,0,4,1,1,0,0,0,2,3,0,1
,A,1500,751,3,5,False,,6,6,67,0,0,6,1,1,0,0,1,1,3,0,1
,A,1500,751,3,2,False,A,4,5,762,0,0,7,1,0,2,0,0,1,3,1,2
,B,1500,751,4,6,False,A,7,3,71,1,2,9,1,0,0,2,0,0,3,1,2
,A,1500,751,8,8,False,,9,4,126,0,0,9,1,0,0,1,0,1,2,0,1
,A,1500,751,2,5,False,A,3,6,78,0,0,4,0,2,2,0,0,0,4,1,2
,A,1500,751,2,3,False,,7,4,765,0,0,4,0,1,0,0,0,1,2,0,0
,A,1500,751,3,7,False,A,7,4,757,0,0,7,0,1,0,1,2,1,5,1,0
,A,1500,751,9,7,False,A,6,5,783,0,0,6,1,1,0,1,2,0,4,1,0
,A,1500,751,3,3,False,A,5,2,785,0,0,5,1,1,1,0,2,2,6,1,2
,B,1500,751,6,5,False,,7,2,784,0,0,4,2,0,2,1,0,1,4,0,2
,A,1500,751,3,3,False,A,7,2,63,0,0,6,0,0,1,0,1,1,3,1,1
,A,1500,751,5,6,False,A,11,6,778,0,0,8,0,0,0,0,0,1,1,1,0
,B,1500,751,3,4,False,A,6,3,765,0,0,5,1,0,0,0,0,1,1,1,1
,A,1500,751,5,2,False,A|B,8,4,763,0,0,4,1,0,0,1,0,0,1,2,0
,A,1500,751,4,5,False,A,11,2,762,0,0,7,0,1,0,0,1,0,2,1,2
,A,1500,751,3,5,False,,6,4,773,0,0,5,0,1,0,1,1,2,5,0,1
,A,1500,751,6,3,False,A,3,9,775,0,0,4,0,0,1,1,0,2,4,1,0
,B,1500,751,6,4,False,A,2,6,808,0,0,6,2,1,0,2,0,2,5,1,1
,B,1500,751,6,6,False,A,10,2,763,0,0,10,0,1,1,1,1,0,4,1,0
,A,1500,751,4,4,False,,2,7,778,1,2,5,0,0,1,0,1,2,4,1,1
,B,1500,751,2,5,False,A,4,6,796,0,0,5,1,1,1,0,1,1,4,1,0
,B,1500,751,3,4,False,A,7,3,795,0,0,8,1,1,1,0,0,2,4,1,0
,B,1500,751,3,4,False,A,7,3,775,0,0,8,1,0,1,0,0,3,4,1,1
,A,1500,751,3,2,False,,5,7,766,0,0,2,1,1,1,1,0,0,3,0,0
,A,1500,751,6,5,False,A,9,3,765,0,0,5,2,0,1,0,0,0,1,1,1
,A,1500,751,4,5,False,,13,2,71,0,0,5,1,0,0,0,1,1,2,0,1
,A,1500,751,2,6,False,B,3,3,58,0,0,3,1,0,1,2,3,1,7,1,1
,B,1500,751,3,5,False,A,10,4,769,0,0,11,0,1,0,1,1,1,4,1,1
,B,1500,751,9,5,False,A,9,0,86,0,0,8,2,1,0,1,0,1,3,1,1
,B,1500,751,3,6,False,,9,3,770,0,0,4,1,1,1,1,1,1,5,0,0
,A,1500,751,5,6,False,A,7,5,781,0,0,8,2,1,0,0,0,0,1,1,0
